nom_site,adresse,cp,ville,adresse_complete,geo_coordinates,arrondissement
Maison des Associations Du 02eme,"23, Rue Greneta",75002,PARIS,"23, Rue Greneta 75002 PARIS France","48.865162, 2.35053",02
Maison Du Developpement Economique Du 19eme,"27, Rue Du Maroc",75019,PARIS,"27, Rue Du Maroc 75019 PARIS France","48.88702, 2.3679",19
Maison Initiatives Etudiantes,"50, Rue Des Tournelles",75003,PARIS,"50, Rue Des Tournelles 75003 PARIS France","48.85622, 2.3673",03
Musee Carnavalet,"23, Rue De Sevigne",75003,PARIS,"23, Rue De Sevigne 75003 PARIS France","48.857029, 2.36292",03
Parc Andre Citroen,Rue De La Montagne De La Fage,75015,PARIS,Rue De La Montagne De La Fage 75015 PARIS France,"48.839214, 2.276927",15
Parc Clichy Batignolles,Rue Cardinet,75017,PARIS,Rue Cardinet 75017 PARIS France,"48.884766, 2.310258",17
Parc de Belleville,"45, Rue Des Couronnes",75020,PARIS,"45, Rue Des Couronnes 75020 PARIS France","48.870258, 2.38482",20
Parc de Passy,Avenue Du President Kennedy,75016,PARIS,Avenue Du President Kennedy 75016 PARIS France,"48.85379, 2.282583",16
Solarium Josephine Baker,Porte De La Gare,75013,PARIS,Porte De La Gare 75013 PARIS France,"48.832458, 2.37965",13
Solarium Roger Le Gall,"34, Boulevard Carnot",75012,PARIS,"34, Boulevard Carnot 75012 PARIS France","48.84211, 2.41312",12
Square De La Villa Sainte-Croix,"32, Rue De La Jonquiere",75017,PARIS,"32, Rue De La Jonquiere 75017 PARIS France","48.893539, 2.32431",17
Square Des Jardiniers,2 Passage Dumas,75011,PARIS,2 Passage Dumas 75011 PARIS France,"48.852027, 2.389877",11
Square Emmanuelle Fleury,Rue Le Vau,75020,PARIS,Rue Le Vau 75020 PARIS France,"48.868038, 2.410999",20
Square Georges Duhamel,Rue Jean Anouilh,75013,PARIS,Rue Jean Anouilh 75013 PARIS France,"48.831783, 2.377777",13
Square Jean Aicard,Avenue Jean Aicard,75011,PARIS,Avenue Jean Aicard 75011 PARIS France,"48.865364, 2.38103",11
Square Leon,Passage Leon,75018,PARIS,Passage Leon 75018 PARIS France,"48.885826, 2.353192",18
Square Leopold Achille,"13-13Bis, Rue Payenne",75003,PARIS,"13-13Bis, Rue Payenne 75003 PARIS France","48.858349, 2.36253",03
Square Louis Xiii,30 Place Des Vosges,75004,PARIS,30 Place Des Vosges 75004 PARIS France,"48.856159, 2.36595",04
Square Montholon,Rue La Fayette,75009,PARIS,Rue La Fayette 75009 PARIS France,"48.875153, 2.341068",09
Square Orillon Jules Vernes,"19 Bis, Rue De L'Orillon",75011,PARIS,"19 Bis, Rue De L'Orillon 75011 PARIS France","48.869862, 2.37514",11
Square Rene Viviani,Rue Lagrange,75005,PARIS,Rue Lagrange 75005 PARIS France,"48.851162, 2.34807",05
Square Blomet,43 Rue Blomet,75015,PARIS,43 Rue Blomet 75015 PARIS France,"48.8425, 2.305323",15
